"ABC Analysis","Análise ABC"
"Accepted Quantity","Quantidade aceita"
"Accepted Warehouse","Armazém de aceitos"
"Account","Conta"
"Accounting","Contabilidade"
"Action if Quality Inspection is rejected before delivery","Ação se a inspeção for rejeitada antes da entrega"
"Action if Quality Inspection is rejected before purchase","Ação se a inspeção for rejeitada antes da compra"
"Actions","Ações"
"Active","Ativo"
"Activity","Atividade"
"Actual Qty","Qtd. real"
"Add Filter","Adicionar filtro"
"Add to Transit","Adicionar em trânsito"
"Additional Costs","Custos adicionais"
"Additional Discount Amount","Valor de desconto adicional"
"Additional Discount Percentage","Percentual de desconto adicional"
"Allow Negative Stock","Permitir estoque negativo"
"Allow Partial Reservation","Permitir reserva parcial"
"Amend","Retificar"
"Amount","Valor"
"Apply Discount On","Aplicar desconto em"
"Apply Filters","Aplicar filtros"
"Are you sure you want to log out?","Tem certeza que deseja sair?"
"Are you sure?","Tem certeza?"
"Assets","Ativos"
"Assign","Atribuir"
"Assigned To","Atribuído a"
"Attachments","Anexos"
"Auto Create Serial and Batch Bundle For","Criar pacote de série/lote automaticamente para"
"Auto Reserve Stock","Reservar estoque automaticamente"
"Available Batch Report","Lotes disponíveis"
"Available Qty","Qtd. disponível"
"Available Serial No","Números de série disponíveis"
"Back","Voltar"
"Balance","Saldo"
"Balance Qty","Qtd. saldo"
"Balance Value","Valor saldo"
"Barcode","Código de barras"
"Basic Rate","Taxa básica"
"Batch","Lote"
"Batch Item Expiry Status","Status de validade do lote"
"Batch-Wise Balance History","Histórico de saldo por lote"
"Batches","Lotes"
"Bill of Materials","Lista de materiais"
"Billing Status","Status de faturamento"
"Bin","Saldo do item (bin)"
"BOM","Lista técnica (BOM)"
"Branch","Filial"
"Brand","Marca"
"Build","Desenvolvimento"
"Bulk Actions","Ações em massa"
"Buying","Compras"
"By-product","Subproduto"
"Campaign","Campanha"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Chart of Accounts","Plano de contas"
"Classe Terapeutica","Classe terapêutica"
"Clear All","Limpar tudo"
"Clear Filters","Limpar filtros"
"Close","Fechar"
"Closed","Fechado"
"Closing Stock Balance","Saldo de fechamento de estoque"
"COGS By Item Group","CPV por grupo de item"
"Comments","Comentários"
"Commission","Comissão"
"Company","Empresa"
"Company Address","Endereço da empresa"
"Completed","Concluído"
"Connections","Conexões"
"Contribution","Contribuição"
"Convert Item Description to Clean HTML","Converter descrição do item em HTML limpo"
"Copy","Copiar"
"Cost","Custo"
"Cost Center","Centro de custo"
"Cost Center Allocation","Alocação de centro de custo"
"Coupon Code","Cupom"
"Create","Criar"
"Created On","Criado em"
"CRM","CRM"
"Currency","Moeda"
"Customer","Cliente"
"Customer Address","Endereço do cliente"
"Customs Tariff Number","NCM / tarifa aduaneira"
"Dashboard","Painel"
"Dashboard View","Visão em painel"
"Date","Data"
"Default Item Group","Grupo de item padrão"
"Default Material Request Type","Tipo padrão de requisição de material"
"Default Stock UOM","UDM de estoque padrão"
"Default Valuation Method","Método de valoração padrão"
"Default Warehouse","Armazém padrão"
"Delete","Excluir"
"Delivery Note","Nota de entrega"
"Delivery Note Trends","Tendência de notas de entrega"
"Delivery Notes","Notas de entrega"
"Delivery Status","Status de entrega"
"Delivery Trip","Roteiro de entrega"
"Department","Departamento"
"Description","Descrição"
"Deselect","Desmarcar"
"Difference Account","Conta de diferença"
"Disable","Desativar"
"Discount","Desconto"
"Dispatch Address","Endereço de expedição"
"Done","Concluído"
"Draft","Rascunho"
"Driver","Motorista"
"Duplicate","Duplicar"
"Economic Order Quantity","Lote econômico de compra"
"Edit","Editar"
"Email","E-mail"
"Employee","Colaborador"
"Enable","Ativar"
"Enable Stock Reservation","Ativar reserva de estoque"
"End of Life","Fim de vida"
"Export","Exportar"
"FIFO","PEPS (FIFO)"
"FIFO Queue vs Qty After Transaction Comparison","Fila FIFO vs qtd. após transação"
"Filters","Filtros"
"Finished Goods","Produtos acabados"
"Follow","Seguir"
"Form","Formulário"
"From Date","Data inicial"
"From Warehouse","Do armazém"
"Gantt","Gantt"
"Get Items From","Obter itens de"
"Grand Total","Total geral"
"Grant Commission","Conceder comissão"
"Group Same Items","Agrupar itens iguais"
"GST","GST"
"Guarantee","Garantia estendida"
"Has Batch No","Possui lote"
"Has Serial No","Possui nº de série"
"Help","Ajuda"
"Home","Início"
"HSN/SAC","NCM/HSN"
"Ignore Pricing Rule","Ignorar regra de preço"
"Import","Importar"
"In Qty","Qtd. entrada"
"Inactive","Inativo"
"Include Item In Manufacturing","Incluir item na fabricação"
"Incoming Rate","Taxa de entrada"
"Incorrect Balance Qty After Transaction","Qtd. de saldo incorreta após transação"
"Incorrect Serial and Batch Bundle","Pacote de série/lote incorreto"
"Incorrect Serial No Valuation","Valoração incorreta de nº de série"
"Incorrect Stock Value Report","Valor de estoque incorreto"
"Incoterm","Incoterm"
"Inspection Required Before Delivery","Inspeção obrigatória antes da entrega"
"Inspection Required Before Purchase","Inspeção obrigatória antes da compra"
"Inspection Type","Tipo de inspeção"
"Installation Note","Nota de instalação"
"Integrations","Integrações"
"Inventory","Inventário"
